player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Saben Lee,leesa01,2021,RS,DET,1609,781,-1.631919078716305,-2.12074144024663,-3.752660518962935,-1.495596941270228,-3.025909512060029,-4.521506453330257,-1.654770418929213,-2.420215994213579,-4.074986413142792,-.5243102585858953,-.5243102585858953,0,-2.813047008173152,-1.848168275641434,-4.661215283814586,-.6984773213325537
Alex Len,lenal01,2021,PO,WAS,90,42,-.1644163594068182,-6.591585605660563,-6.756001965067381,-9.788600891018044,-11.45360460685623,-21.24220549787427,-2.210856576447035,-7.941993341831596,-10.15284991827863,-.1645240972239238,0,-.1645240972239238,-.0222345270384179,-5.176012188133251,-5.198246715171669,.550443226363749
Alex Len,lenal01,2021,RS,TOR,169,76,-8.486057811501746,-2.492890473027212,-10.97894828452896,-8.570440929318362,-3.76664309529206,-12.33708402461042,-9.053553468264845,-2.912386336623459,-11.9659398048883,-.3605997630167441,-.3605997630167441,0,-8.772325500153929,-3.197228374266933,-11.96955387442086,.9183105190855699
Alex Len,lenal01,2021,RS,WAS,2009,903,-2.155500425035434,1.761727533565837,-.393772891469597,-1.864681638517117,-.432777026756567,-2.297458665273683,-2.222479575433797,1.432292279434383,-.7901872959994147,.9059056172506901,.9059056172506901,0,-2.801767164393546,1.373668225265765,-1.428098939127781,.3354068973841169
Kawhi Leonard,leonaka01,2021,PO,LAC,852,432,7.674083690175887,1.603205427171126,9.277289117347014,-.5119276932373146,-1.798536589989471,-2.310464283226786,6.286072930991739,.9692971707083562,7.255370101700095,2.287164390086787,0,2.287164390086787,5.862209033760808,2.832610885419599,8.694819919180407,.5502603277053609
Kawhi Leonard,leonaka01,2021,RS,LAC,3601,1773,5.748638294131089,1.428060497056519,7.176698791187608,7.403284626516798,1.922843891090083,9.326128517606881,6.345672281043949,1.598027594731763,7.943699875775712,9.596767433749413,9.596767433749413,0,6.11090461245593,1.819303217540809,7.930207829996739,-.7994796816111993
Meyers Leonard,leoname01,2021,RS,MIA,61,29,-3.052164369599244,-7.561785575639483,-10.61394994523873,-4.04529225311219,6.096774256432631,2.051482003320441,-3.463634438888667,-5.210169969505954,-8.67380440839462,-.0896786736366091,-.0896786736366091,0,-3.984261302187591,-5.242101822755389,-9.22636312494298,2.340147682322721
Caris LeVert,leverca01,2021,RS,IND,2499,1152,.1972859990613652,-1.146580060430437,-.9492940613690719,-.7951829455819044,-2.85152307015393,-3.646706015735834,-.0184201274752267,-1.56318161943621,-1.581601746911437,.694290361121723,.694290361121723,0,.4352360665228707,-.9629844917848059,-.5277484252619353,1.112184352541133
Caris LeVert,leverca01,2021,RS,BRK,733,334,2.332846343096137,2.873824339813954,5.206670682910092,-.5004544791220011,2.984652009246461,2.484197530124459,1.76338899631638,3.089746375070184,4.853135371386564,1.295458081589211,1.295458081589211,0,3.071316801848566,1.865270539177762,4.936587341026327,-.0130844919230034
Kira Lewis Jr.,lewiski01,2021,RS,NOP,1932,904,-.5389997746880467,-1.675309524083205,-2.214309298771252,-1.671942907626791,1.986467225532729,.3145243179059378,-.827465978690157,-.9969610492405871,-1.824427027930744,.4265084446339593,.4265084446339593,0,-.947463297403789,-.8231118462702361,-1.770575143674025,-.0910815713101522
Damian Lillard,lillada01,2021,PO,POR,498,248,15.46457107837266,3.413588782365681,18.87815986073834,16.28204240133488,10.94816342124969,27.23020582258457,16.32935049185104,5.258404403733998,21.58775489558504,3.26198990441723,0,3.26198990441723,12.51502570657072,3.903481463910061,16.41850717048078,2.655015539362836
Damian Lillard,lillada01,2021,RS,POR,5016,2398,7.677319442583324,-3.265180428287723,4.412139014295601,5.061115023057133,-1.057525889726483,4.003589133330649,7.500266269225031,-2.955939760349368,4.544326508875663,9.044745626436638,9.044745626436638,0,8.023518060280988,-3.216130067924561,4.807387992356428,1.362654845522866
Nassir Little,littlna01,2021,PO,POR,19,9,.4343402379096655,1.908326391739446,2.342666629649111,-14.56917516141149,16.35410239455584,1.784927233144352,-2.970685348277093,5.095463566048197,2.124778217771105,.0234973198220721,0,.0234973198220721,-5.904008128748523,-2.488866822935883,-8.392874951684407,1.747651197394152
Nassir Little,littlna01,2021,RS,POR,1321,640,-1.246602996829494,-3.245359504211802,-4.491962501041296,1.35959160282683,-5.332573292839436,-3.972981690012606,-.8370039542026649,-3.839496690412054,-4.676500644614719,-.6234132535934399,-.6234132535934399,0,-.9771709390570007,-4.402224144905253,-5.379395083962253,-.9058396378034571
Kevon Looney,looneke01,2021,RS,GSW,2476,1161,-1.771158621225553,1.734541620219058,-.0366170010064957,3.299568107403438,1.536623131072822,4.83619123847626,-.8118458922479178,1.746490396419801,.9346445041718831,2.150976215097672,2.150976215097672,0,-2.481399935782527,1.948801184775547,-.5325987510069803,-1.461701605821205
Brook Lopez,lopezbr01,2021,PO,MIL,1367,667,-1.489798871930202,4.64864112547177,3.158842253541568,-.8050892151801002,-.3702524442535197,-1.17534165943362,-1.46701959343525,3.771975038910757,2.304955445475507,1.778667034819105,0,1.778667034819105,-1.784722297804501,4.21976165365236,2.435039355847858,.2488917679297635
Brook Lopez,lopezbr01,2021,RS,MIL,4108,1902,-1.447450165319646,2.58594571288355,1.138495547563904,3.041064556437455,-1.893886125992727,1.147178430444728,-.6410200112255111,1.827695397969966,1.186675386744455,3.827255466517322,3.827255466517322,0,-.4344139734191061,2.087870225748026,1.65345625232892,.1877792853938403
Robin Lopez,lopezro01,2021,PO,WAS,165,73,.4054286072455986,-5.897655140194511,-5.492226532948912,-10.87777494271637,-.7676648803309223,-11.6454398230473,-1.979312301214294,-5.100924498182014,-7.080236799396308,-.1662062989851796,0,-.1662062989851796,-.6567531083974223,-6.306648226793907,-6.96340133519133,-.0762772092473754
Robin Lopez,lopezro01,2021,RS,WAS,2925,1354,-1.178124814092203,.2179362256387768,-.9601885884534263,-1.600078719541997,1.39989647049629,-.200182249045707,-1.33191179049429,.4960119464345955,-.8358998440596942,1.30661075748564,1.30661075748564,0,-2.465655415032147,.0347897273641809,-2.430865687667966,-1.196666138025424
Didi Louzada,louzama01,2021,RS,NOP,120,56,-5.953242097432095,-11.0106466176105,-16.96388871504259,-2.921066239589765,-1.584582017036253,-4.505648256626017,-5.666647740277168,-9.657902037914774,-15.32454977819194,-.3582718446332587,-.3582718446332587,0,-3.796016054420309,-5.729081516083556,-9.525097570503865,-.2805346093339433
